Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,1.578125,1.589844,1.578125,1.578125,0.014627,902400
1962-01-03,1.578125,1.601563,1.578125,1.601563,0.014844,1200000
1962-01-04,1.601563,1.613281,1.597656,1.605469,0.014880,1088000
1962-01-05,1.605469,1.613281,1.566406,1.570313,0.014554,1222400
1962-01-08,1.570313,1.582031,1.546875,1.566406,0.014518,1388800
1962-01-09,1.566406,1.578125,1.558594,1.562500,0.014482,1065600
1962-01-10,1.562500,1.562500,1.550781,1.554688,0.014409,828800
1962-01-11,1.558594,1.570313,1.558594,1.570313,0.014554,617600
1962-01-12,1.574219,1.593750,1.574219,1.593750,0.014771,1398400
1962-01-15,1.593750,1.593750,1.578125,1.593750,0.014771,966400
1962-01-16,1.593750,1.593750,1.582031,1.582031,0.014663,569600
1962-01-17,1.582031,1.593750,1.562500,1.574219,0.014590,832000
1962-01-18,1.574219,1.582031,1.566406,1.578125,0.014627,844800
1962-01-19,1.578125,1.589844,1.578125,1.589844,0.014735,720000
1962-01-22,1.589844,1.593750,1.585938,1.593750,0.014771,745600
1962-01-23,1.589844,1.589844,1.578125,1.582031,0.014663,908800
1962-01-24,1.582031,1.585938,1.570313,1.582031,0.014663,841600
1962-01-25,1.582031,1.593750,1.582031,1.585938,0.014699,1078400
1962-01-26,1.585938,1.593750,1.582031,1.593750,0.014771,832000
1962-01-29,1.593750,1.621094,1.593750,1.617188,0.014989,1462400
1962-01-30,1.621094,1.632813,1.621094,1.632813,0.015134,1843200
1962-01-31,1.636719,1.656250,1.636719,1.656250,0.015351,1718400
1962-02-01,1.656250,1.687500,1.656250,1.687500,0.015640,2371200
1962-02-02,1.687500,1.722656,1.683594,1.722656,0.015966,2310400
1962-02-05,1.726563,1.750000,1.726563,1.738281,0.016111,1977600
1962-02-06,1.734375,1.734375,1.710938,1.714844,0.015894,1446400
1962-02-07,1.710938,1.710938,1.683594,1.710938,0.016033,1126400
1962-02-08,1.710938,1.718750,1.707031,1.710938,0.016033,684800
1962-02-09,1.699219,1.699219,1.691406,1.691406,0.015850,563200
1962-02-12,1.691406,1.699219,1.687500,1.695313,0.015886,428800
1962-02-13,1.695313,1.695313,1.660156,1.683594,0.015777,873600
1962-02-14,1.683594,1.703125,1.671875,1.703125,0.015960,636800
1962-02-15,1.703125,1.710938,1.695313,1.707031,0.015996,742400
1962-02-16,1.707031,1.718750,1.703125,1.710938,0.016033,816000
1962-02-19,1.710938,1.746094,1.710938,1.738281,0.016289,1657600
1962-02-20,1.738281,1.750000,1.730469,1.746094,0.016362,800000
1962-02-21,1.746094,1.746094,1.718750,1.718750,0.016106,681600
1962-02-23,1.718750,1.722656,1.707031,1.722656,0.016143,793600
1962-02-26,1.722656,1.726563,1.710938,1.710938,0.016033,640000
1962-02-27,1.710938,1.738281,1.710938,1.726563,0.016179,908800
1962-02-28,1.726563,1.757813,1.726563,1.730469,0.016216,2131200
1962-03-01,1.730469,1.746094,1.722656,1.742188,0.016326,899200
1962-03-02,1.742188,1.746094,1.726563,1.726563,0.016179,838400
1962-03-05,1.726563,1.726563,1.718750,1.718750,0.016106,1011200
1962-03-06,1.718750,1.718750,1.710938,1.714844,0.016070,550400
1962-03-07,1.714844,1.718750,1.699219,1.707031,0.015996,985600
1962-03-08,1.691406,1.691406,1.667969,1.679688,0.015740,1190400
1962-03-09,1.683594,1.695313,1.683594,1.691406,0.015850,825600
1962-03-12,1.683594,1.683594,1.667969,1.679688,0.015740,611200
1962-03-13,1.679688,1.687500,1.675781,1.683594,0.015777,656000
1962-03-14,1.683594,1.695313,1.679688,1.695313,0.015886,681600
1962-03-15,1.695313,1.726563,1.695313,1.722656,0.016143,1107200
1962-03-16,1.718750,1.718750,1.703125,1.714844,0.016070,624000
1962-03-19,1.714844,1.722656,1.703125,1.718750,0.016106,809600
1962-03-20,1.718750,1.718750,1.691406,1.699219,0.015923,822400
1962-03-21,1.699219,1.703125,1.691406,1.695313,0.015886,764800
1962-03-22,1.695313,1.699219,1.687500,1.691406,0.015850,633600
1962-03-23,1.691406,1.695313,1.687500,1.695313,0.015886,768000
1962-03-26,1.695313,1.699219,1.691406,1.695313,0.015886,678400
1962-03-27,1.695313,1.703125,1.687500,1.695313,0.015886,694400
1962-03-28,1.695313,1.714844,1.695313,1.710938,0.016033,688000
1962-03-29,1.710938,1.718750,1.710938,1.710938,0.016033,604800
1962-03-30,1.710938,1.710938,1.703125,1.707031,0.015996,809600
1962-04-02,1.707031,1.714844,1.703125,1.707031,0.015996,716800
1962-04-03,1.707031,1.707031,1.671875,1.683594,0.015777,931200
1962-04-04,1.683594,1.683594,1.652344,1.664063,0.015594,1033600
1962-04-05,1.664063,1.671875,1.640625,1.671875,0.015667,700800
1962-04-06,1.671875,1.683594,1.660156,1.664063,0.015594,569600
1962-04-09,1.664063,1.671875,1.632813,1.632813,0.015301,716800
1962-04-10,1.632813,1.664063,1.625000,1.664063,0.015594,937600
1962-04-11,1.664063,1.691406,1.664063,1.664063,0.015594,720000
1962-04-12,1.656250,1.656250,1.644531,1.644531,0.015411,947200
1962-04-13,1.644531,1.664063,1.636719,1.664063,0.015594,710400
1962-04-16,1.664063,1.664063,1.644531,1.660156,0.015557,812800
1962-04-17,1.660156,1.683594,1.652344,1.683594,0.015777,1110400
1962-04-18,1.687500,1.707031,1.687500,1.707031,0.015996,1084800
1962-04-19,1.707031,1.726563,1.707031,1.726563,0.016179,1385600
1962-04-23,1.726563,1.734375,1.722656,1.734375,0.016253,1081600
